120827,"Wednesday",20154500000,1,"SERVICE DELI",8001
155907,"Tuesday",4400000457,1,"DSD GROCERY",3621
18240,"Sunday",7640602150,3,"DSD GROCERY",4652
38457,"Thursday",1500007308,1,"INFANT CONSUMABLE HARDLINES",3192
83718,"Thursday",4650074543,-1,"HOUSEHOLD CHEMICALS/SUPP",8599
87628,"Friday",1018114189,1,"BEAUTY",4020
54955,"Saturday",4046,-1,"PRODUCE",5620
18274,"Sunday",22012200000,2,"MEAT - FRESH & FROZEN",6042
139341,"Saturday",3338366602,1,"PRODUCE",7700
108787,"Monday",7874207203,1,"DSD GROCERY",3502
7509,"Saturday",7874203843,1,"GROCERY DRY GOODS",3901
190009,"Sunday",1600044501,1,"GROCERY DRY GOODS",3600
141776,"Saturday",4067,1,"PRODUCE",8002
35441,"Wednesday",4011,1,"PRODUCE",5501
111967,"Monday",75752800879,1,"IMPULSE MERCHANDISE",808
126835,"Thursday",9955501777,1,"GROCERY DRY GOODS",3309
144538,"Sunday",4011,1,"PRODUCE",5501
1601,"Friday",2791702413,1,"PHARMACY OTC",603
10686,"Saturday",7874202011,1,"HOUSEHOLD PAPER GOODS",266
58608,"Sunday",7566935002,3,"GROCERY DRY GOODS",4291
47482,"Friday",88842420760,1,"MENSWEAR",2553
99842,"Sunday",9149299046,1,"HOME MANAGEMENT",8154
185562,"Sunday",1254744019,1,"PERSONAL CARE",605
142829,"Saturday",7314918518,1,"HOME MANAGEMENT",6600
178099,"Saturday",7366408020,1,"BAKERY",4013
58674,"Sunday",4159,1,"PRODUCE",4038
54863,"Saturday",2840042073,1,"IMPULSE MERCHANDISE",808
106733,"Monday",88462348619,1,"GROCERY DRY GOODS",3601
88416,"Friday",7874209357,1,"PHARMACY OTC",3516
113537,"Tuesday",3980001819,1,"IMPULSE MERCHANDISE",770
81867,"Thursday",4300026902,1,"GROCERY DRY GOODS",30
46630,"Friday",68113109906,1,"INFANT CONSUMABLE HARDLINES",9014
56516,"Sunday",84470202300,1,"ELECTRONICS",6532
28930,"Tuesday",7225003706,1,"COMM BREAD",3702
191073,"Sunday",7432309119,1,"COMM BREAD",3724
9377,"Saturday",64541698771,2,"CELEBRATION",1805
48783,"Friday",5233633145,1,"PERSONAL CARE",5230
51523,"Saturday",20152800000,1,"MEAT - FRESH & FROZEN",6535
152010,"Monday",88496807166,1,"LADIESWEAR",267
42559,"Thursday",72136600323,1,"HOME DECOR",5926
6469,"Saturday",7004820080,1,"LAWN AND GARDEN",339
172052,"Friday",2840007848,1,"IMPULSE MERCHANDISE",807
175498,"Friday",60538887953,1,"FINANCIAL SERVICES",285
33762,"Wednesday",7737911771,1,"BEAUTY",2230
113421,"Tuesday",3940001603,1,"GROCERY DRY GOODS",2828
44750,"Friday",3400013003,1,"CANDY, TOBACCO, COOKIES",224
28949,"Tuesday",7874243026,1,"FROZEN FOODS",1801
184115,"Saturday",7874235188,1,"DAIRY",1508
125392,"Thursday",4155429417,1,"BEAUTY",2255
99040,"Saturday",2310085339,1,"PETS AND SUPPLIES",817
35241,"Wednesday",4011,1,"PRODUCE",5501
67645,"Monday",1820008989,1,"LIQUOR,WINE,BEER",102
61727,"Sunday",88844735124,1,"GIRLS WEAR, 4-6X  AND 7-14",3457
152669,"Monday",61126954601,1,"DSD GROCERY",3467
170177,"Thursday",3100927899,3,"COOK AND DINE",900
185925,"Sunday",7874204834,1,"HOUSEHOLD PAPER GOODS",240
52204,"Saturday",4601346068,1,"HARDWARE",9803
62496,"Sunday",3825775632,1,"MENSWEAR",8163
130182,"Thursday",4030,1,"PRODUCE",5751
10160,"Saturday",71575610003,1,"PRODUCE",3507
17812,"Sunday",4900005469,1,"DSD GROCERY",4610
111266,"Monday",3100067000,1,"FROZEN FOODS",6504
190494,"Sunday",2820000974,1,"CANDY, TOBACCO, COOKIES",8031
107894,"Monday",7874207180,1,"PRE PACKED DELI",7550
59671,"Sunday",8511845817,1,"INFANT APPAREL",7007
134951,"Friday",3797700403,1,"INFANT CONSUMABLE HARDLINES",2015
183715,"Saturday",3800012280,1,"GROCERY DRY GOODS",3555
165064,"Wednesday",25127200000,1,"SEAFOOD",1031
55848,"Saturday",1305149585,2,"CELEBRATION",70
10565,"Saturday",60538812090,1,"PHARMACY OTC",3533
54330,"Saturday",7314906278,1,"HOME MANAGEMENT",4206
39290,"Thursday",3320000073,1,"HOUSEHOLD CHEMICALS/SUPP",745
29496,"Tuesday",1291418540,1,"INFANT CONSUMABLE HARDLINES",2118
25745,"Monday",4900000977,1,"DSD GROCERY",9211
183593,"Saturday",4065,1,"PRODUCE",8101
182671,"Saturday",2594713807,1,"HOME MANAGEMENT",5416
144994,"Sunday",2570000381,1,"HOUSEHOLD PAPER GOODS",6010
122042,"Wednesday",880634546658,1,"SLEEPWEAR/FOUNDATIONS",7311
136547,"Friday",2430086571,1,"COMM BREAD",2286
