"Date_Time","Lat","Lon","Base"
"9/25/2014 15:28:00",40.7633,-73.9402,"B02598"
"9/5/2014 3:50:00",40.7441,-74.0067,"B02617"
"9/24/2014 13:39:00",40.7408,-73.9916,"B02617"
"9/18/2014 0:31:00",40.7396,-74.0023,"B02617"
"9/20/2014 11:22:00",40.7441,-73.9919,"B02617"
"9/26/2014 17:03:00",40.6943,-73.9239,"B02764"
"9/24/2014 18:59:00",40.8526,-73.8435,"B02617"
"9/23/2014 16:33:00",40.7146,-74.0087,"B02617"
"9/17/2014 22:16:00",40.7751,-73.9092,"B02682"
"9/6/2014 11:13:00",40.7191,-73.9754,"B02682"
"9/6/2014 11:43:00",40.7242,-73.9829,"B02617"
"9/7/2014 1:36:00",40.751,-73.9829,"B02764"
"9/13/2014 22:59:00",40.7081,-73.9429,"B02764"
"9/11/2014 18:48:00",40.7412,-74.0404,"B02682"
"9/11/2014 19:10:00",40.7592,-73.9763,"B02617"
"9/28/2014 23:13:00",40.7309,-73.954,"B02598"
"9/10/2014 19:38:00",40.7578,-73.8448,"B02682"
"9/2/2014 11:50:00",40.7241,-74.0033,"B02682"
"9/6/2014 12:33:00",40.7452,-73.9484,"B02764"
"9/29/2014 10:32:00",40.7527,-73.9831,"B02764"
"9/27/2014 20:40:00",40.7608,-73.9607,"B02764"
"9/13/2014 19:08:00",40.753,-74.0038,"B02682"
"9/24/2014 10:57:00",40.727,-73.9891,"B02764"
"9/14/2014 19:17:00",40.7551,-73.9984,"B02682"
"9/6/2014 18:09:00",40.783,-73.9593,"B02617"
"9/15/2014 9:37:00",40.7509,-73.9905,"B02764"
"9/8/2014 7:39:00",40.753,-74.0039,"B02512"
"9/11/2014 18:18:00",40.7464,-73.9913,"B02598"
"9/9/2014 9:31:00",40.7561,-73.9718,"B02617"
"9/19/2014 13:13:00",40.763,-73.9213,"B02764"
"9/26/2014 11:05:00",40.7751,-73.9636,"B02512"
"9/10/2014 21:29:00",40.7106,-73.988,"B02764"
"9/12/2014 22:38:00",40.7381,-74.0092,"B02617"
"9/6/2014 13:42:00",40.7409,-73.9935,"B02598"
"9/5/2014 23:38:00",40.7382,-73.9931,"B02617"
"9/15/2014 16:08:00",40.7429,-73.983,"B02617"
"9/12/2014 15:50:00",40.7366,-73.993,"B02598"
"9/30/2014 22:52:00",40.7618,-73.9651,"B02617"
"9/9/2014 15:44:00",40.7671,-73.9539,"B02764"
"9/2/2014 17:19:00",40.7434,-73.9847,"B02598"
"9/25/2014 20:31:00",40.7094,-74.0149,"B02682"
"9/19/2014 20:45:00",40.7436,-73.9727,"B02682"
"9/13/2014 7:30:00",40.732,-73.9965,"B02682"
"9/25/2014 13:21:00",40.7809,-73.9544,"B02764"
"9/16/2014 16:46:00",40.7538,-73.9696,"B02617"
"9/12/2014 22:42:00",40.8226,-73.9477,"B02598"
"9/18/2014 22:30:00",40.7349,-73.9911,"B02598"
"9/26/2014 19:37:00",40.7703,-73.9678,"B02617"
"9/4/2014 15:35:00",40.7693,-73.9827,"B02598"
"9/20/2014 18:57:00",40.736,-73.9823,"B02682"
"9/13/2014 22:14:00",40.7193,-73.985,"B02512"
"9/4/2014 12:21:00",40.7465,-73.9937,"B02598"
"9/27/2014 9:03:00",40.7074,-73.9209,"B02764"
"9/22/2014 18:02:00",40.7507,-73.9983,"B02764"
"9/29/2014 12:22:00",40.7246,-73.9763,"B02682"
"9/17/2014 1:24:00",40.7292,-73.9568,"B02617"
"9/28/2014 13:18:00",40.7491,-73.9727,"B02598"
"9/11/2014 12:24:00",40.7422,-73.9833,"B02617"
"9/15/2014 8:52:00",40.7732,-73.9893,"B02682"
"9/15/2014 19:44:00",40.7536,-73.986,"B02617"
"9/13/2014 21:45:00",40.7025,-74.013,"B02617"
"9/6/2014 22:28:00",40.7269,-73.9857,"B02598"
"9/5/2014 21:37:00",40.7213,-73.9574,"B02617"
"9/23/2014 1:08:00",40.7108,-73.9681,"B02617"
"9/26/2014 18:18:00",40.7394,-73.9996,"B02764"
"9/18/2014 8:06:00",40.777,-73.9893,"B02682"
"9/12/2014 6:49:00",40.7588,-73.9621,"B02682"
"9/30/2014 16:31:00",40.7446,-74.0047,"B02617"
"9/9/2014 7:41:00",40.673,-73.9867,"B02617"
"9/19/2014 20:16:00",40.7353,-74.0098,"B02617"
"9/18/2014 6:17:00",40.7777,-73.9081,"B02598"
"9/12/2014 2:12:00",40.7644,-73.9708,"B02617"
"9/1/2014 13:11:00",40.7333,-73.99,"B02598"
"9/19/2014 7:01:00",40.7424,-73.917,"B02598"
"9/6/2014 23:17:00",40.7229,-73.9946,"B02617"
"9/2/2014 21:13:00",40.6468,-73.7896,"B02617"
"9/28/2014 3:30:00",40.7442,-74.0067,"B02598"
"9/27/2014 14:47:00",40.7715,-73.9546,"B02617"
"9/24/2014 7:54:00",40.7433,-73.9926,"B02598"
"9/24/2014 20:23:00",40.7695,-73.9602,"B02682"
"9/25/2014 1:07:00",40.6919,-73.9477,"B02682"
"9/10/2014 20:55:00",40.7474,-74.0043,"B02598"
"9/11/2014 21:17:00",40.7739,-73.8723,"B02682"
"9/23/2014 15:04:00",40.7898,-73.9524,"B02682"
"9/6/2014 16:04:00",40.7573,-73.9781,"B02764"
"9/28/2014 23:09:00",40.6459,-73.7768,"B02617"
"9/14/2014 16:08:00",40.7139,-74.0093,"B02617"
"9/27/2014 16:16:00",40.7515,-73.9763,"B02617"
"9/9/2014 20:44:00",40.7821,-73.9762,"B02682"
"9/26/2014 21:53:00",40.6719,-73.9832,"B02617"
"9/15/2014 21:24:00",40.6903,-73.9538,"B02682"
"9/23/2014 10:06:00",40.7602,-73.9598,"B02617"
"9/7/2014 14:02:00",40.7564,-73.9729,"B02617"
"9/18/2014 11:29:00",40.7887,-73.9531,"B02598"
"9/22/2014 19:21:00",40.7344,-73.9915,"B02598"
"9/26/2014 12:12:00",40.7201,-74.0105,"B02764"
"9/14/2014 11:20:00",40.776,-73.9498,"B02617"
"9/9/2014 21:32:00",40.7606,-73.9666,"B02512"
"9/13/2014 0:11:00",40.8179,-73.9382,"B02682"
"9/1/2014 3:39:00",40.7469,-73.9565,"B02617"
"9/24/2014 14:04:00",40.7237,-74.0025,"B02764"
"9/1/2014 15:36:00",40.8052,-73.9394,"B02617"
"9/21/2014 17:24:00",40.6954,-74.1777,"B02617"
"9/21/2014 11:55:00",40.7627,-73.9828,"B02617"
"9/6/2014 14:02:00",40.6006,-73.914,"B02682"
"9/24/2014 16:27:00",40.7334,-74.0045,"B02617"
"9/29/2014 17:04:00",40.754,-73.9998,"B02682"
"9/20/2014 20:53:00",40.7732,-73.8761,"B02598"
"9/16/2014 19:24:00",40.7547,-73.9681,"B02617"
"9/2/2014 8:11:00",40.7197,-73.9894,"B02682"
"9/18/2014 14:03:00",40.7637,-73.9694,"B02682"
"9/9/2014 10:39:00",40.7834,-73.9809,"B02617"
"9/10/2014 18:19:00",40.7615,-73.975,"B02764"
"9/16/2014 8:48:00",40.726,-73.9918,"B02512"
"9/19/2014 0:35:00",40.7678,-73.9928,"B02617"
