MovieID,UserID,Rating,Date
8764,1287529,4,2005-10-04
16856,702643,5,2001-06-26
16792,460448,1,2005-04-19
16705,1140044,4,2005-08-16
7624,1772538,3,2004-06-26
15702,1727914,3,2005-08-30
28,1932255,4,2004-07-24
13795,558537,4,2005-06-08
4682,111479,5,2005-08-01
10176,972986,3,2005-02-09
18,177643,5,2005-06-07
6859,1436183,3,2004-12-30
11537,2604898,5,2005-11-27
482,1491044,2,2004-11-23
14545,1562126,4,2005-03-16
3905,750877,3,2005-01-24
6449,2288148,4,2005-08-25
12785,108255,5,2002-03-29
11781,743181,5,2005-01-09
11521,2038549,4,2003-09-10
5614,1829027,5,2005-04-24
2674,2518104,4,2005-11-14
13384,1233464,5,2004-04-24
6274,18753,2,2005-11-20
361,712031,4,2005-08-18
7846,61457,3,2004-12-19
6797,2188405,4,2001-05-31
1865,2413057,4,2005-10-10
14660,1467138,4,2003-08-08
15129,1491054,4,2003-06-10
9841,2490151,2,2005-09-18
10734,902787,5,2004-09-01
13580,1217748,5,2005-04-03
10926,291727,5,2005-03-24
16303,2240828,3,2004-12-17
17135,672213,5,2003-08-12
8277,1590926,3,2004-10-15
10413,553397,5,2002-12-01
580,450731,3,2005-03-29
14280,2452430,5,2004-10-11
8339,2458870,5,2005-05-10
17449,410265,4,2005-08-29
9818,2218826,1,2005-03-17
11040,662251,5,2004-05-29
11182,831151,5,2004-07-01
15788,1622038,3,2004-09-17
16912,2174151,4,2005-01-11
2136,871329,3,2004-12-05
15769,1900962,5,2004-11-16
10747,852604,3,2004-01-28
14574,39700,4,2004-09-30
13519,1845602,4,2005-09-23
5628,2370529,3,2004-12-11
7521,1340358,5,2004-03-01
16552,486847,4,2005-09-14
8376,1841229,3,2001-09-21
313,600362,2,2005-07-16
2209,228694,3,2002-04-01
10428,1004565,2,2005-01-04
6196,754677,4,2003-08-05
6134,1732550,4,2005-01-01
3583,1818524,3,2004-07-16
12670,2439216,5,2005-03-24
4488,363551,5,2002-06-13
4135,219469,3,2000-01-31
7070,2596078,4,2004-07-16
12582,2331504,5,2005-04-27
5614,1117550,3,2004-10-01
15296,2054578,5,2004-05-03
4306,1934972,4,2004-11-10
15449,1054087,3,2005-10-10
14584,962544,4,2005-05-25
11674,1634085,4,2005-05-12
4123,2096059,3,2005-10-12
9381,258170,4,2004-01-12
7160,1472020,4,2004-12-31
10729,457302,3,2004-06-22
16377,2368458,4,2004-07-31
2372,706418,3,2005-02-27
16438,2086396,4,2004-07-14
