MovieID,Oscar
9426,Yes
4640,Yes
15758,Yes
15817,No
15818,No
15819,No
15820,No
15821,No
15822,No
15823,No
15824,No
15825,No
15826,No
15827,No
7364,Yes
5137,Yes
15828,No
15829,No
15830,No
15831,No
15832,No
15833,No
15834,No
15835,No
15836,No
15837,No
15838,No
15839,No
15840,No
15841,No
15842,No
15843,No
15844,No
15845,No
15846,No
15847,No
15848,No
15849,No
15850,No
15851,No
15852,No
15853,No
15854,No
15855,No
15856,No
15857,No
15858,No
15859,No
15860,No
15861,No
15862,No
15863,No
15864,No
15865,No
15866,No
15867,No
15868,No
15869,No
15870,No
15871,No
15872,No
15873,No
15874,No
15875,No
15876,No
15877,No
15878,No
15879,No
5,No
10734,Yes
4633,Yes
13392,Yes
6,No
7,No
26,No
27,No
28,No
29,No
30,No
31,No
14,No
15,No
16,No
17,No
18,No
19,No
20,No
21,No
1,No
2,No
3,No
4,No
,
,
,
,
,
,
32,No
33,No
34,No
35,No
36,No
37,No
38,No
39,No
40,No
41,No
42,No
43,No
44,No
45,No
46,No
47,No
48,No
49,No
50,No
51,No
52,No
53,No
54,No
55,No
56,No
57,No
58,No
59,No
60,No
61,No
62,No
63,No
64,No
65,No
66,No
67,No
68,No
69,No
70,No
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,No
79,No
80,No
81,No
82,No
83,No
84,No
85,No
86,No
87,No
88,No
89,No
90,No
91,No
92,No
93,No
94,No
95,No
96,No
97,No
98,No
99,No
100,No
101,No
102,No
103,No
104,No
105,No
106,No
107,No
108,No
109,No
110,No
111,No
112,No
113,No
114,No
115,No
116,No
117,No
118,No
119,No
120,No
121,No
122,No
123,No
124,No
125,No
126,No
127,No
128,No
129,No
130,No
131,No
132,No
133,No
134,No
135,No
136,No
137,No
138,No
139,No
140,No
141,No
142,No
143,No
144,No
145,No
146,No
147,No
148,No
149,No
150,No
151,No
152,No
153,No
154,No
155,No
156,No
157,No
158,No
159,No
160,No
161,No
162,No
163,No
164,No
165,No
166,No
167,No
168,No
169,No
170,No
171,No
172,No
173,No
174,No
175,No
176,No
177,No
178,No
179,No
180,No
181,No
182,No
183,No
184,No
185,No
186,No
187,No
188,No
189,No
190,No
191,No
192,No
193,No
194,No
195,No
